"Modified Julian Date","Detection","Upper Limit","Error (low)","Error (high)"
59446.49995370349,0.000029,,0.0000191,0.0000389
59453.49995370349,0.0000257,,0.0000175,0.0000339
59460.49995370349,0.0000421,,0.000031,0.0000532
59467.49995370349,0.0000444,,0.0000323,0.0000565
59474.49995370349,0.0000214,,0.0000086,0.0000342
59481.49995370349,0.0000332,,0.0000204,0.000046
59488.49995370349,0.0000409,,0.0000271,0.0000547
59495.49995370349,0.0000392,,0.000029,0.0000494
59502.49995370349,0.0000475,,0.0000335,0.0000615
59509.49995370349,0.0000534,,0.0000406,0.0000662
59516.49995370349,0.0000184,,0.00000961,0.0000272
59523.49995370349,0.0000392,,0.0000281,0.0000503
59530.49995370349,0.0000372,,0.0000221,0.0000523
59537.49995370349,0.0000696,,0.0000539,0.0000853
59544.49995370349,0.0000309,,0.000021,0.0000408
59551.49995370349,0.0000579,,0.0000457,0.0000701
59558.49995370349,0.0000531,,0.0000415,0.0000647
59565.49995370349,0.0000305,,0.0000198,0.0000412
59572.49995370349,0.000033,,0.0000225,0.0000435
59579.49995370349,0.0000363,,0.0000264,0.0000462
59586.49995370349,0.0000203,,0.0000116,0.000029
59593.49995370349,0.000046,,0.0000323,0.0000597
59600.49995370349,0.0000293,,0.0000167,0.0000419
59607.49995370349,0.000067,,0.0000532,0.0000808
59614.49995370349,0.0000655,,0.0000538,0.0000772
